"","mean","sd"
"DHRS3",6.34097345488732,0.502891473076925
"ATG9A",6.87303006061944,0.38612860879759
"TBCC",8.19803580236772,0.339829394355884
"EDC4",6.54415824605294,0.30145197219668
"DNAJB2",7.46780093729225,0.593071030688359
"ACADM",6.41598279617896,0.84328848846704
"CRMP1",5.12520289021422,0.271188934508419
"BCL7B",6.93586636680693,0.284855631443784
"MLH1",7.78933612486077,0.451586169422712
"CTCF",7.84036217221533,0.395558555364607
"PITPNB",8.80222360421677,0.275543721575726
"PRSS8",3.84184202326081,0.214140464072299
"FADD",7.43958264439003,0.40167146484595
"PRKCD",8.42548993468197,0.587807859628666
"VAMP8",9.40155008246417,0.537066934783009
"MCRS1",7.2728699628574,0.28620645012644
"ARL2",6.70591032079446,0.329161105022492
"SNRPD3",8.80817693996715,0.393710525923349
"CRABP2",5.61713727208184,0.248349305819476
"FOXM1",4.28821449684118,0.264712929901366
"BLOC1S1",8.22892589738242,0.412463289834284
"EPS8",4.37721890254642,0.698445824986807
"CTPS1",4.93432875107264,0.365038881266748
"IRF3",7.92526956662676,0.364182755950605
"ATXN2",6.61153085853544,0.397477540898897
"EAPP",7.61079814982681,0.462500581831412
"TOPBP1",7.00516750958986,0.493480346794982
"MEN1",6.69404514118216,0.459420043437801
"APBB1",5.36366004277965,0.296523700513883
"MANF",7.96229342930463,0.327957851629872
"PEX11B",7.45544781748333,0.525774258838795
"PSMB10",9.67182847641026,0.475637471297511
"ACTL6A",5.9856837726359,0.690780053823951
"SLC39A7",6.10791994107101,0.323176983810607
"MAP2K1",8.40085359947376,0.482579493213426
"DPM1",7.86471864046294,0.652589074612232
"GTF2E2",7.26200865749553,0.32037658004104
"OXSR1",7.75349844719056,0.344388605767681
"TRIM26",7.08376122238674,0.33148359074686
"DUSP11",7.25109870589958,0.469355024386724
"TOB1",7.89090228251542,0.881657153147529
"HIST2H2BE",7.52718743537863,0.714526426394928
"FMOD",4.96841213223808,0.226043272322698
"BET1",5.87578725871375,0.726295176064617
"EFNB1",5.01641863530767,0.324523181114818
"CKMT1A",3.93573902330847,0.215172859315395
"IGFBP2",4.24074018720061,0.383479059792989
"LIG1",6.09303819613295,0.32412771036713
"PKIG",5.72961073848108,0.656989419335484
"TRIP10",4.4169961004605,0.235916914123479
"SLC20A2",4.28371830782578,0.265419519334772
"WRB",6.60214832467817,0.568325689042159
"NELFB",6.97771755380649,0.331077332813483
"RFXANK",7.47286922760584,0.322088446702923
"CASP3",6.32107982263682,0.531776969769675
"ACP2",6.3755527982119,0.376981268481022
"FOSB",5.23046774188748,0.67331869622068
"HMGCL",7.49217996471752,0.331562845734436
"DNTTIP2",7.46831717926852,0.471887036031159
"SHOC2",8.9021763257994,0.529672944712335
"UBE2S",6.62698264863021,0.415323354802519
"OXCT1",6.07545985305741,0.631243972119918
"STK39",6.24766487739916,0.719079372333452
"CLDN7",4.73373681703815,0.2375196212304
"INPP1",6.79524436834804,0.404404048507967
"SACM1L",8.33015069110334,0.712023548178825
"SEC24B",7.76468405771826,0.59071175254425
"CLPP",7.39957716425984,0.324800858646563
"TOM1",6.32195761756914,0.36561207819883
"WBP1L",8.69110059080798,0.406649195431947
"DRG1",8.00829368706988,0.290198887621252
"GAA",7.24619671014383,0.458538790392467
"TARBP1",7.12605752677688,0.421427508719771
"AHR",7.3566741838246,0.51099349680597
"VAMP7",8.4816198305409,0.578375979208634
"AGT",3.89442312269092,0.224678674514722
"PCK2",6.57195300568336,0.399188763037135
"DENND4B",8.71437362081057,0.350766745867185
"CDC20",4.47605690821817,0.454147293419014
"DDIT4",7.92794804318867,0.916155476577978
"UNC13B",4.39735600646547,0.293249165117509
"CD97",10.4541019465859,0.545673490454338
"ADM",8.47831100105469,0.923277959846673
"PIN1",6.53939500310498,0.365174524345275
"DDT",7.51194251537599,0.448603565713063
"SUCLA2",5.89556962015964,0.798241032844362
"ZMPSTE24",8.21244876544866,0.568976537989055
"NDUFV2",8.11375593931407,0.409687574616804
"ETFB",7.81364478301887,0.350549151661876
"FPGS",6.41313325684713,0.227305599283452
"BTBD3",4.70912341611711,0.443032929041646
"GYPC",10.6263096022988,0.762388741304487
"FHL2",5.45717462022581,0.604567587151749
"CRYZ",5.67217863929201,0.721670162213342
"C1QB",4.68365263889375,0.862348226373605
