"","mean","sd"
"KLHL21",7.75779408297308,0.465508280443806
"SV2A",4.00664504008912,0.436676855284158
"CTNNBIP1",6.77395194088143,0.41058827191359
"BMS1",6.37688557157337,0.456433466807201
"THBS2",5.89919621133221,0.893450650228869
"FBLN5",6.82332217433468,0.768136753070433
"SDF2",8.21181686771738,0.40485496708193
"MAD2L1BP",7.45847391153921,0.355576543455198
"PRPF19",7.32872947859489,0.538819695504504
"CSF1R",6.92342920174201,0.787031099927551
"GPRC5A",4.59912244898805,0.61310866269369
"UBE2M",7.17703635902602,0.63666723799679
"SSSCA1",6.6097944410024,0.541081396551346
"PAN2",6.66587419277143,0.518203523411294
"CCDC86",6.18323002498822,0.477353148006274
"TP53BP2",7.08296879157253,0.402522938694399
"IMPA2",9.63170631764681,0.708094956269088
"TBP",6.919531703335,0.426868279577108
"RABAC1",9.2840238103352,0.509361247320232
"HAT1",8.3058960200809,0.652554006385888
"SPAG5",5.47855159758775,0.731006603346969
"MRPL40",8.10836661723878,0.512014349561372
"IFIT1",8.58268213011225,1.04740154040886
"RGP1",6.93632313181914,0.445049485692408
"RHOG",8.74541322980289,0.510525000551686
"ALDH1A3",4.60718165231153,0.687870243320252
"RASSF2",8.32310530236907,0.86087851120786
"PMM2",6.46947263266278,0.518628553969309
"ST3GAL5",7.35067785503571,0.575353849321785
"PAFAH1B3",6.32147603186149,0.525041985267535
"CLK2",7.74504223263137,0.386712055937167
"DVL1",6.81463408403097,0.486318517225644
"UPP1",7.9930294795619,0.621455486688898
"UVRAG",7.09452174539658,0.398384199358213
"CDK2AP2",7.8680387461509,0.600852130431841
"PPIP5K2",7.42106890827096,0.683552967882818
"CDH3",5.18530553704928,0.593057240039878
