,patient_1,patient_2,patient_3,patient_4,patient_5,patient_6,patient_7
SNORD38B,4.714353,4.696535,5.471056,4.56047,4.627702,4.964051,4.673728
PLK3,6.440269,6.629458,7.895058,6.880556,6.428791,7.052011,6.759139
RNA5SP47,3.714383,3.757188,3.454129,3.467328,3.59629,3.418125,3.683077
UROD,9.164768,9.20157,9.225026,9.090466,8.986066,9.955322,9.7451
HPDL,5.667536,5.873514,5.602316,5.599468,5.679528,5.472196,5.792436
TOE1,7.745089,7.811643,7.880049,7.743553,7.504658,8.011518,8.139205
MMACHC,7.791112,7.616597,7.772129,7.741293,7.872644,7.911321,8.130395
AKR1A1,11.16762,11.13359,10.37816,11.00883,10.69088,11.45105,11.0917
NASP,6.757288,6.730686,7.130108,6.856571,6.865562,6.91373,6.911066
TMEM69,8.606956,8.805633,9.007752,8.605754,8.529606,8.620787,8.907459
MAST2,8.291516,8.353933,8.205679,8.251798,8.099939,8.374326,8.443991
TSPAN1,11.49885,11.47478,12.11765,11.27805,10.99102,11.49997,11.05404
LURAP1,7.017673,7.244666,7.006664,7.319861,7.342788,7.221151,7.495387
RAD54L,5.361657,5.399327,5.697083,5.355084,5.341002,5.2535,5.199666
UQCRH,6.872167,6.7127,7.333468,6.5811,6.537977,6.966189,6.680673
NSUN4,8.719779,8.83321,9.474361,8.995212,8.808905,9.076754,8.775077
FAAH,7.782128,7.870142,7.445318,7.412019,7.264568,8.197988,7.911817
DMBX1,6.837088,6.960566,6.774137,6.687374,6.752495,6.708746,6.754999
TEX38,4.51763,4.672946,4.500622,4.215222,4.457108,4.333589,4.768441
CYP4B1,5.870761,5.716332,5.683273,5.558188,5.687306,5.607714,5.584482
CYP4X1,7.215617,7.642501,6.322546,7.63254,7.439611,8.019072,7.434267
CYP4Z1,5.352454,5.389039,4.74416,5.33496,5.31293,4.83341,5.188566
CYP4A22,6.313773,6.1735,5.101643,7.598275,6.001362,5.768194,5.853729
CMPK1,9.873118,9.92618,10.16551,9.876709,9.488276,9.667128,9.268975
FOXE3,7.975847,7.885277,8.062231,7.846958,7.756964,7.619903,8.000185
FOXD2,6.241125,6.096731,6.230816,6.188935,5.851163,6.004415,6.126357
SLC5A9,8.647734,7.938847,7.770055,8.525428,7.92533,7.352164,8.340444
RNU6-723P,2.897106,2.748491,2.805325,2.748145,2.833974,2.82906,2.735419
RNU4-61P,3.800312,3.831315,3.76166,3.63062,3.628281,3.71955,3.518591
ELAVL4,4.445408,4.38665,4.416881,4.260082,4.559079,4.545588,4.424749
RNU6-1026P,2.887569,2.839916,2.860388,2.956541,2.964579,3.022073,2.756223
CDKN2C,5.587086,5.38075,5.58386,5.426336,5.418544,5.19386,5.204709
RNF11,8.418563,8.38932,8.505347,8.378027,8.215295,8.283635,8.040618
RNU6-877P,3.033542,2.885545,2.86957,2.987205,3.055154,2.947537,3.087881
OSBPL9,10.63366,10.60007,10.65466,10.58786,10.76348,10.50555,10.54318
RN7SL290P,4.46674,4.636966,4.188546,4.513831,4.269621,4.299622,4.424094
ZFYVE9,7.354766,7.403353,7.384156,7.364459,7.547218,7.303864,7.1355
RN7SL788P,6.607131,6.626821,6.449027,6.668525,6.873132,6.499837,6.661973
PRPF38A,9.43583,9.401555,9.496366,9.343878,9.698572,9.566371,9.883404
GPX7,8.075989,7.914089,8.663667,8.197901,8.064637,8.201975,8.49304
FAM159A,5.978281,6.125798,5.669398,6.286651,6.117633,5.824925,5.845585
RN7SL62P,5.192599,5.067094,4.960791,5.05946,5.265468,4.518682,4.694524
ZYG11B,9.278599,9.248682,9.275099,9.20276,9.344546,9.45259,9.330566
ZYG11A,6.849119,6.992411,6.004094,6.766482,6.78547,7.316117,6.506028
SCP2,10.17514,10.13394,9.606379,9.995492,9.981738,9.977504,9.647757
PODN,7.174913,7.884071,7.06084,7.83538,7.78513,8.297884,7.927294
CPT2,8.063702,8.227244,7.884307,8.084909,7.822172,8.207364,7.829245
DMRTB1,6.857387,6.768105,6.659589,6.666375,6.755193,6.563613,6.581026
DIO1,11.23568,11.00472,8.835229,11.09008,10.77788,11.19455,10.30884
LRRC42,7.824401,7.917715,8.376401,7.885011,7.782143,7.954976,8.128348
TCEANC2,7.290645,7.288009,7.352607,7.319539,7.284716,7.719314,7.556426
MRPL37,9.625669,9.724385,9.65848,9.605671,9.637044,9.978181,9.898998
SSBP3-AS1,6.50238,6.350643,6.212922,6.305928,6.075135,5.761793,5.916826
ACOT11,8.433993,8.503488,7.862786,8.275524,8.240266,8.81553,8.488721
MROH7,7.093862,6.882266,6.564405,6.701714,7.291548,7.036331,7.129189
TTC4,7.50261,7.610459,7.676336,7.722341,7.536612,7.678902,7.81716
C1orf177,4.773511,4.929258,4.58637,4.649773,4.562527,4.797387,4.781804
TMEM61,7.3973,7.385847,7.375339,7.354971,7.641029,7.685112,7.943581
BSND,6.333477,6.47707,6.215284,6.277406,6.735952,6.876392,7.174257
PCSK9,6.598197,6.765915,6.608766,6.508328,6.627898,6.307608,6.641011
RNU6-830P,3.243089,3.204549,3.195953,3.226418,3.171727,3.170001,3.069804
PRKAA2,10.16828,10.06602,10.1468,10.11258,10.18708,10.10737,9.979346
C8A,4.311644,4.566401,4.224449,4.412878,4.444315,4.306528,4.393518
FGGY,8.776741,8.872115,8.160174,8.778042,8.851091,8.572714,8.317061
HOOK1,8.668179,8.336018,8.500589,8.251008,8.552843,8.086014,7.723898
NFIA,10.34918,10.39098,9.894766,10.3688,10.40015,10.32934,10.54905
MGC34796,6.076804,6.1413,6.013207,6.171735,5.992312,6.023515,5.935949
INADL,10.83583,10.58895,10.27224,10.724,10.79227,10.35834,9.868991
RNU6-414P,6.677163,6.085603,5.875971,6.435479,7.01901,6.435631,5.122095
RNU6-1177P,3.993782,3.768885,3.615166,4.269632,4.549863,3.9293,3.843355
LAMTOR5P1,6.842603,6.781719,6.196299,6.491017,6.505234,6.988709,6.435265
RN7SL180P,6.67178,6.185702,6.045362,6.640277,7.017076,6.357165,5.871398
L1TD1,3.44167,3.319447,3.472068,3.347478,3.245643,3.743993,3.491719
USP1,7.668024,7.56004,8.053805,7.618044,7.505767,7.359189,7.364301
ANGPTL3,10.44868,10.53739,8.752442,10.86011,10.56506,9.903815,9.336996
ATG4C,8.515485,8.370415,8.345815,8.466706,8.249085,8.252999,8.338952
FOXD3,6.217999,6.526909,6.343116,5.91915,6.235973,6.177379,6.287539
ALG6,6.417213,6.217255,6.734281,6.314886,6.433068,6.125937,6.234718
EFCAB7,6.806317,6.75558,7.059624,6.910673,6.974645,7.117634,6.927751
DLEU2L,2.666026,2.771973,3.024538,2.917448,2.910055,2.588048,2.80535
PGM1,9.263658,9.470497,9.042957,9.399851,9.694324,9.863229,9.769902
RN7SL130P,5.622294,5.760751,5.739603,5.321677,5.823244,5.553761,5.754746
ROR1,7.923623,7.674107,7.94977,7.751812,7.833711,8.171193,8.691097
UBE2U,5.162857,4.189542,3.927811,4.578076,4.855768,5.119328,4.606705
CACHD1,7.899322,8.069152,7.634114,7.758704,8.007738,8.08707,7.827287
RAVER2,8.345222,8.197069,8.638845,8.414698,8.666497,8.155989,8.185036
DNAJC6,8.190928,8.154017,8.181197,8.011148,7.773408,8.261306,7.826258
LEPR,8.525142,8.704228,9.464177,8.738175,8.784821,8.618941,8.835815
PDE4B,6.360388,6.439252,6.298336,6.862565,6.395465,6.379311,6.110954
SGIP1,7.128765,7.455433,7.190435,7.574846,7.953973,7.75491,8.181872
TCTEX1D1,4.995529,5.210765,5.492792,4.962504,5.399976,5.512487,5.538643
MIER1,8.363357,8.445142,8.446481,8.488967,8.603777,8.315817,8.27137
IL23R,3.895431,3.838693,3.804216,3.795742,3.804567,4.189143,3.911464
RNU6-586P,4.518283,5.144083,4.655596,4.80688,4.553097,4.802103,5.385638
IL12RB2,5.47475,5.758689,5.948626,5.707972,5.956373,6.761392,5.61173
RNU6-387P,4.705221,5.1114,5.09911,5.036556,5.16986,5.428055,5.302754
RNU6-1031P,3.196864,3.15679,3.017944,3.51612,3.708583,3.51778,2.982191
GADD45A,9.431323,9.107005,8.404658,8.788402,8.64023,8.549806,8.762843
LRRC7,5.303025,5.838668,5.154651,5.24738,5.748355,5.756271,7.1518
RN7SL538P,6.877489,6.852001,6.711222,6.791762,6.768935,6.53064,6.832167
PIN1P1,7.888341,7.933496,7.831446,7.767919,7.913747,7.893017,7.853883
SRSF11,10.91575,10.81861,11.19137,10.96562,11.08264,10.87785,11.04611
HHLA3,8.336502,8.120726,8.026849,7.959991,8.13867,7.930967,8.149029
CTH,7.946815,8.128053,6.497191,7.937732,7.827455,7.917657,7.280696
FPGT,8.809088,8.498023,8.146749,8.68561,8.555537,8.247418,8.277792
FPGT-TNNI3K,4.69237,5.236049,4.258105,5.070492,5.446892,5.306782,4.882707
TYW3,8.701478,8.340198,8.308528,8.299566,8.486303,8.42461,8.543251
LHX8,4.630506,4.857782,4.738033,4.70255,4.577781,4.612252,4.779003
RNU6-622P,4.060361,3.985127,3.897015,3.947119,3.954198,4.102459,3.937724
ACADM,11.93899,12.3145,11.28361,11.93209,12.43253,11.87797,11.48548
RABGGTB,8.896251,9.125756,8.946877,9.028949,8.940277,8.704059,8.752515
SNORD45C,6.841348,7.567371,7.407777,6.707027,6.519818,5.973595,6.088794
SNORD45A,11.7033,11.78896,11.6409,11.50036,10.90549,10.66305,11.10843
SNORD45B,9.722688,9.418517,9.604772,9.619773,5.4249,8.222399,8.530717
MSH4,3.248243,3.333077,3.45993,3.264425,3.545842,3.672182,3.415604
ST6GALNAC3,7.964851,8.133595,8.194743,7.489933,7.494495,7.859461,7.657964
TPI1P1,10.44725,10.605,10.74515,10.73699,10.32573,10.61517,10.26888
RNU6-161P,3.727765,3.919145,3.877969,3.863048,3.828353,3.960629,3.509704
ST6GALNAC5,5.730729,5.827318,5.629886,5.765149,5.62861,5.552687,7.342769
AK5,5.671497,6.123203,5.255435,5.92353,5.12313,5.034458,5.169065
RNA5SP20,6.190302,6.166747,6.044134,6.297686,6.405877,5.98911,6.034159
RN7SL370P,5.867886,5.722912,5.555563,5.928509,5.543537,6.014351,5.55368
NEXN,7.284066,8.112086,8.08417,7.968704,7.931311,7.751861,9.443211
DNAJB4,9.370825,9.111953,8.97208,9.149482,9.303195,8.634227,8.500787
GIPC2,10.15096,10.24421,9.506609,9.828992,9.783087,9.529715,8.805597
PTGFR,6.70434,6.422936,7.136593,6.436015,6.768193,6.658245,7.993451
IFI44L,8.550944,8.004579,9.294254,8.227532,9.573743,9.021461,7.857379
IFI44,6.902949,6.582843,7.628569,7.121217,7.87299,7.015261,6.413887
RN7SKP247,5.317256,5.391703,5.380839,5.423088,5.443484,5.315483,5.417518
LPHN2,9.362447,9.686179,9.605339,9.569431,9.789354,9.415641,9.005211
PRKACB,9.729006,9.542996,9.517669,9.733076,9.608409,9.398663,9.59748
LOC100128775,6.060649,6.04835,6.017639,5.857255,5.774355,6.016956,6.114495
SAMD13,4.726602,4.874904,4.816723,4.923194,4.748166,4.745482,4.81136
DNASE2B,3.710971,4.073136,3.786069,3.816983,3.750545,3.593278,3.713209
RPF1,8.132096,8.060521,8.38741,8.137469,8.119116,8.246644,8.202579
SPATA1,4.177885,3.988141,3.973488,4.253097,4.121313,4.264778,4.041357
WDR63,6.437447,5.860385,6.475787,6.467585,6.052157,5.879396,6.0249
CYR61,7.189922,7.618434,9.400586,7.780137,7.282046,7.934641,7.593332
CLCA2,3.911703,4.225907,4.077542,4.181393,3.894139,4.061272,4.136873
CLCA1,3.804564,3.853442,3.669082,3.878278,3.78039,3.813318,3.772246
CLCA4,4.275435,4.251703,4.275576,4.341425,4.279018,4.331536,4.359087
CLCA3P,3.976079,3.796456,3.662107,3.729371,3.839727,3.74055,3.76646
SH3GLB1,9.288646,9.199173,9.680162,9.319938,9.213959,9.059793,9.025967
HS2ST1,8.28878,8.28818,8.366673,8.530389,8.282202,8.224289,7.909174
LMO4,6.299606,6.325201,6.63159,6.401961,6.914643,6.666193,6.68559
PKN2,9.339482,9.493384,9.817573,9.629484,9.651656,9.389756,9.225876
RNU6-125P,7.911821,7.55324,7.345387,8.075005,8.631479,7.846633,7.313104
GBP6,4.482133,4.421038,4.254574,4.371417,4.448663,4.592361,4.563637
LRRC8B,7.991931,7.992868,8.413369,7.94801,8.10852,7.870884,8.236456
LRRC8C,7.505285,7.345804,7.757174,7.681533,7.349056,7.472487,8.09776
LRRC8D,9.624458,9.61499,9.365313,9.645686,9.630788,9.912048,9.526263
ZNF326,8.162818,7.92919,8.213851,8.085711,8.278681,7.878642,7.755234
CDC7,4.809738,4.943271,5.957048,5.253339,4.969238,4.983333,4.701754
HSP90B3P,6.68653,6.541947,6.523206,6.669794,6.478338,5.814379,5.752973
BRDT,4.250549,3.994012,4.280998,4.153419,4.319974,4.327273,4.372856
EPHX4,5.759275,5.678746,6.053945,5.67785,5.309195,5.649542,5.535533
BTBD8,6.115234,6.263462,6.1503,6.47208,5.887502,5.697377,5.54231
KIAA1107,7.585473,7.38834,7.55304,7.356453,7.512529,7.044564,7.301917
C1orf146,3.234911,3.331614,3.233044,3.353182,3.37527,3.37903,3.734302
RPAP2,8.394252,8.112155,8.167581,8.384368,8.744746,8.146268,7.842947
SNORD21,5.410895,5.554285,6.163685,5.466651,5.374302,5.795012,5.890968
RNU6-210P,2.805844,2.7831,2.946521,2.87889,2.912981,3.032151,2.973229
RN7SKP123,3.785449,3.811518,3.641918,3.782063,3.654503,3.668876,3.745836
MTF2,8.090754,7.947897,8.290531,8.146406,8.157898,8.225748,7.962104
CCDC18,4.524703,4.681949,5.062744,4.784922,4.615124,4.688131,4.534522
DR1,9.313297,9.349636,9.292342,9.479558,9.413387,9.411323,9.403333
FNBP1L,10.34049,10.11254,10.46156,10.16012,10.39314,9.99887,9.820335
GAPDHP29,4.84262,4.750158,4.958103,4.921471,4.796039,4.925409,4.950591
ABCD3,10.31169,10.31249,10.0097,10.53503,10.44117,9.821046,9.512245
SLC44A3,9.452159,9.884697,10.6712,10.12674,8.722273,9.554466,9.42365
TMEM56,8.086004,8.334287,8.783389,8.37607,8.093869,8.302494,7.939433
RWDD3,6.484254,6.20968,6.488843,6.312864,6.288601,6.164921,6.28462
RNU1-130P,2.977182,3.238391,3.471394,3.17754,3.108128,3.059578,3.296559
EEF1A1P11,9.689303,9.744592,9.828424,9.693591,9.71777,9.465945,9.288903
RN7SL831P,4.371247,4.296593,4.053933,4.197765,4.29061,4.215967,4.348653
PTBP2,8.460169,8.139457,8.440708,8.315967,8.613234,8.380121,9.288303
SNX7,7.124666,7.001402,7.310654,6.971319,6.850811,6.921346,7.061887
LPPR4,6.404411,6.630432,5.664913,5.938156,5.360566,6.712702,6.232612
PALMD,7.962933,7.674434,7.412602,7.626902,8.292933,7.851779,8.115544
AGL,8.803278,8.912189,8.650332,8.775422,9.107426,8.555529,8.494443
SLC35A3,8.826541,8.803859,8.750413,8.788464,8.879751,8.244192,8.048813
RNU6-750P,3.014587,2.977653,3.042551,2.978672,3.298858,3.420615,3.083081
HIAT1,10.39778,10.71997,10.84686,10.60704,10.54853,10.2498,10.40202
TRMT13,8.170733,7.87929,8.038392,8.16094,8.406687,7.889067,7.870241
RTCA,10.20769,9.892231,9.921488,10.05905,9.847398,9.704553,9.442184
CDC14A,8.78917,8.548913,8.450349,8.214619,8.343279,8.615275,8.486597
GPR88,7.768889,7.66211,7.342663,7.487582,7.31601,7.281176,7.15034
VCAM1,10.79333,9.662102,10.94823,10.82479,9.869077,10.34811,9.415643
SLC30A7,9.858322,9.876933,10.17602,9.948652,9.895534,9.629397,9.369713
S1PR1,7.123302,7.172432,7.283527,6.915889,6.930023,7.319973,7.284968
RNU6-352P,4.067807,4.242664,4.147237,4.257177,4.195389,4.363096,4.209952
DNAJA1P5,3.995108,3.840123,4.036678,4.035835,3.946983,3.792693,4.01234
AMY2B,8.558254,7.771765,7.76357,7.679995,7.904211,7.982407,8.045932
PRMT6,7.381256,7.523737,7.635427,7.273628,7.403048,7.456435,7.223209
NTNG1,7.436461,7.226992,7.305846,6.745706,6.848169,7.125263,6.76194
FAM102B,7.036735,7.28719,7.91113,7.654296,7.083158,7.461656,7.910101
PRPF38B,7.838317,7.679654,7.901387,7.934524,7.919973,7.884898,7.8829
FNDC7,4.099632,4.17589,4.006692,4.109,3.881435,4.209633,4.037361
STXBP3,9.138452,9.044191,9.411287,9.014908,8.967183,8.767591,8.745723
SPATA42,4.215552,4.179556,3.947873,4.18995,4.180146,4.187355,4.374821
GPSM2,7.015806,6.454953,8.042652,6.018933,6.022997,6.134906,7.168589
KIAA1324,5.643915,5.676646,5.693243,5.966581,5.745796,5.724257,5.954019
SARS,9.537709,9.744567,9.642271,9.543452,9.484727,9.999445,10.17449
CELSR2,7.75158,7.819146,7.995284,7.922701,8.021743,8.166378,8.05699
SYPL2,7.825332,8.031378,7.824567,7.732253,7.959509,8.142069,7.999008
ATXN7L2,6.451882,6.802675,6.644969,6.448108,6.538923,6.752147,6.708356
CYB561D1,6.90915,7.130189,7.315229,7.185704,7.030865,7.434859,7.37578
GPR61,6.441972,6.602242,6.313414,6.475752,6.719481,6.518308,6.605755
GNAI3,9.083081,8.815329,9.488348,8.94484,8.848923,8.864265,8.714795
MIR197,7.317566,7.49588,7.313675,7.649335,7.610099,7.523099,7.604164
AMPD2,7.603431,7.782358,7.694077,7.695839,7.62637,8.079006,8.048532
GSTM4,9.552879,9.723911,9.445561,9.716578,9.455382,10.17159,10.16897
GSTM2,8.938326,8.735255,8.376011,8.776376,8.899588,9.399833,9.468124
GSTM1,9.527226,9.927019,8.4967,9.62183,8.124214,10.36783,8.524188
GSTM5,7.20208,6.894237,6.619267,7.248764,6.976196,7.568857,7.795014
CSF1,7.846565,8.116719,8.272738,8.203589,8.073326,8.402901,8.25168
AHCYL1,10.87327,11.00381,10.92431,10.86875,11.12538,10.95833,10.95261
STRIP1,7.964452,8.097559,8.120766,7.903026,8.004407,8.292947,8.337679
UBL4B,4.870052,4.962998,4.810386,5.099552,5.066278,4.855346,4.797522
SLC6A17,6.196019,6.298813,6.186201,5.985113,5.991495,7.119469,6.244133
KCNC4,7.382627,7.620067,7.598462,7.462182,7.484555,7.834082,7.540082
RBM15,7.883905,7.900491,7.920705,8.02766,8.136845,8.228113,7.950161
PROK1,5.38252,5.577884,5.373684,5.476819,5.385385,5.164427,5.625739
OR11I1P,5.25406,5.007413,4.763807,4.872645,5.174433,4.953483,4.796071
CD53,9.022097,8.64447,9.135956,9.804167,8.456512,9.352236,9.076895
RNA5SP54,3.635712,3.95333,3.612309,3.756772,3.599298,3.331526,3.460306
CEPT1,9.378478,9.035054,9.206808,9.185288,9.000104,9.224153,9.109231
CHI3L2,5.429589,4.9109,4.818758,5.118842,4.549903,4.896092,5.091862
CHIAP2,4.381403,4.505448,4.479769,4.549348,4.442506,3.98982,4.432374
CHIA,4.861884,4.953061,4.775209,4.822695,4.757817,5.14086,4.790984
PIFO,7.08872,7.145935,6.879199,7.266793,6.77256,7.202015,7.40634
ATP5F1,7.02853,7.149604,7.148107,6.932556,6.982552,6.983864,6.951168
C1orf162,7.767904,7.406872,8.375755,8.667646,6.816168,7.741072,7.430607
RAP1A,9.552193,9.450294,9.588829,9.447278,9.22151,8.891383,8.914494
DDX20,7.808397,7.736365,8.18189,7.885413,7.792738,7.545883,7.737461
CTTNBP2NL,8.744736,8.951678,9.882708,9.041577,8.800035,9.177049,9.073507
WNT2B,6.899471,7.461648,8.218249,7.597383,6.864742,7.232818,6.994062
CAPZA1,8.647106,8.6918,9.182814,8.829863,8.647255,8.704384,8.596136
MOV10,9.070325,9.115259,9.361138,8.942013,9.065158,9.378178,9.254876
FAM19A3,6.106988,6.261631,6.12127,6.121556,5.963899,5.795598,6.206113
NUTF2P4,6.153878,6.310576,6.681892,5.927354,5.985939,5.982688,5.890558
AKR7A2P1,7.5344,7.747248,6.840781,7.482722,7.38887,7.285202,7.201939
LRIG2,7.913481,7.962513,7.718905,7.950539,7.989802,8.004353,8.000173
MAGI3,8.242944,8.094956,7.744772,8.086049,8.458223,8.32485,8.179725
DCLRE1B,6.41216,6.346709,6.963174,6.474878,6.240262,6.611051,6.610653
HIPK1,9.763131,9.754973,9.705916,9.816321,9.806101,9.876248,9.741321
OLFML3,8.882246,8.936834,8.332941,8.735202,9.333906,9.39035,9.834612
SYCP1,3.163387,3.221949,3.274732,3.259852,3.319624,3.529767,3.461135
TSHB,3.272654,3.4024,3.411826,3.417728,3.334853,3.283967,3.420499
RN7SL420P,5.777853,6.097769,5.933677,6.027012,5.942353,5.902955,5.987742
VANGL1,7.402823,7.526794,7.777591,7.346549,7.536334,7.490831,7.42502
SLC22A15,6.771362,6.624601,6.635717,6.527821,7.045488,6.728609,6.836242
MAB21L3,6.473688,6.848789,7.191629,6.959711,6.607659,6.485658,6.19885
ATP1A1,12.77751,12.98184,12.60924,12.88181,12.95755,12.87313,12.88028
C1orf137,3.648708,3.76881,3.648483,3.712571,3.651981,3.512579,3.759121
CD2,6.835949,6.389012,5.86485,7.067524,5.875396,6.932517,6.284463
PTGFRN,7.465296,7.371952,8.368624,7.63563,7.628258,7.661787,9.163702
CD101,5.331603,5.394773,4.925001,5.429741,5.261414,5.074119,5.299935
TTF2,6.697382,6.697457,7.403667,6.622662,6.915956,7.125215,6.606911
MAN1A2,9.48272,9.449131,9.449131,9.568409,9.790192,9.426252,9.630269
FAM46C,8.921165,8.265754,7.017064,8.867631,8.82933,8.187545,8.259036
WDR3,6.675942,6.436709,7.098959,6.716359,6.45225,6.79672,6.739436
HAO2,11.43994,11.91234,8.950307,11.42005,11.12113,11.53542,10.98063
HSD3B2,6.482703,5.928721,5.027602,5.495015,5.421415,5.477792,5.48129
HSD3BP1,3.957089,4.103332,3.84659,3.901314,4.018656,4.076766,3.945462
HSD3B1,5.18872,5.26851,4.980359,5.176639,5.150486,4.962221,5.171185
HSD3BP4,6.431874,6.456952,5.948875,5.622337,6.126413,6.066197,5.631967
HSD3BP5,4.945328,4.83306,4.396311,4.66479,4.381554,4.858311,4.521533
PHGDH,8.625546,9.477308,9.40167,9.781552,9.803705,10.75674,10.72283
PFN1P9,5.098223,4.869191,5.121073,4.934044,4.954599,4.827888,4.89821
HIST2H3DP1,8.783911,8.811274,8.928165,8.896897,8.699083,8.606197,8.772117
HIST2H2BA,9.753864,9.605732,10.18554,9.474282,9.446373,9.674039,9.557302
SRGAP2C,9.126014,8.886778,9.279433,8.722694,8.845751,9.007443,8.758891
RNU1-59P,5.952121,5.585128,6.535209,5.622278,5.28011,5.527337,5.732131
LOC100996517,10.11175,9.855512,10.07384,10.02267,10.08551,9.873016,9.974818
NOTCH2NL,9.65726,9.716345,9.808694,10.1994,10.15587,9.913568,10.16629
RNVU1-6,6.543194,7.008867,6.761533,6.415356,6.265718,5.530625,5.899387
HFE2,5.462815,6.022664,5.537216,5.468361,5.809818,5.609576,5.741745
TXNIP,12.83968,12.50683,12.32787,12.69798,12.60906,12.64956,12.75443
ANKRD34A,6.245176,6.43323,5.985933,6.245938,6.134994,5.963972,6.167244
LIX1L,8.95975,9.068357,9.372014,9.185312,9.020888,9.144011,9.407559
RBM8A,6.794446,7.03399,6.988372,6.802199,6.986486,6.663624,6.727745
PEX11B,9.707718,9.803648,9.707005,9.838721,9.643712,10.25032,10.30531
ITGA10,5.500282,5.528132,5.165022,5.485822,5.031792,5.295609,5.665765
ANKRD35,5.575528,5.564473,5.179815,5.398531,5.500985,5.292116,5.160708
PIAS3,7.188791,7.249626,7.465502,7.293057,7.215609,7.768232,8.101583
RNF115,9.248613,9.419494,9.230316,9.215476,9.170435,9.120793,9.44455
PDZK1,11.65243,11.53448,10.76746,11.3439,11.15446,11.31236,10.66799
CHD1L,7.336025,7.057029,7.371016,6.854902,6.899417,6.789519,7.032249
BCL9,8.62404,8.481745,8.446981,8.290526,8.545824,8.616132,8.694506
GJA8,5.328092,5.284206,5.389188,5.170047,5.631395,5.160591,5.06439
RNU1-120P,3.151855,3.251628,3.479478,3.39071,3.029226,3.338579,3.440825
PFN1P2,11.40957,11.4075,11.9874,11.04618,10.99758,10.92882,10.90124
LOC654342,9.201617,8.911227,9.540854,9.090183,8.759962,9.312487,8.979803
HIST2H2AC,10.01716,9.775455,9.79852,9.70367,9.746482,9.629877,9.703828
BOLA1,7.183521,7.599764,7.453809,7.304149,7.1822,7.378821,7.654169
VPS45,9.786346,9.721497,9.831045,9.760153,9.812026,9.808839,10.3226
PLEKHO1,6.78102,6.859882,7.386693,7.322835,6.709967,7.247256,7.35113
RN7SL480P,7.897783,7.969375,7.3473,7.55657,7.50246,6.872481,6.967668
RNU2-17P,3.953698,3.655492,3.917682,3.652126,3.68543,3.751577,3.462297
CA14,4.686049,4.63598,4.644111,4.597655,4.804353,4.763012,4.655802
C1orf54,5.749477,5.735781,5.697785,5.625722,5.477372,5.791414,5.467195
CIART,7.587963,7.902315,6.191163,6.646815,6.954555,7.943773,8.655222
MRPS21,10.34107,10.38278,10.5321,10.0172,10.17378,10.38584,10.55342
PRPF3,8.245669,8.160071,8.342795,8.274435,8.476158,8.438299,8.660024
RPRD2,10.16696,10.14736,10.0621,10.04917,10.10651,10.00739,10.06037
TARS2,7.776299,7.621932,7.660843,7.710772,7.688925,8.215078,7.864217
ECM1,6.656867,6.747743,7.291226,6.843271,6.940761,7.142972,6.881163
ADAMTSL4,6.48511,6.567613,6.354138,6.268567,6.446218,6.592753,7.025496
RNU6-1042P,4.815036,4.650291,4.487204,5.060595,4.841397,4.670888,4.284221
CYCSP51,4.644673,4.712195,4.640464,4.705252,4.624854,4.33168,4.505304
