,patient_1,patient_2,patient_3,patient_4,patient_5,patient_6,patient_7
HS3ST3B1,6.807082,6.633042,6.655247,6.748405,6.882202,6.648875,6.704046
RNU6-799P,3.524532,3.54933,3.553539,3.562948,3.459793,3.556013,3.634682
RN7SL792P,3.915085,3.718558,3.716636,3.723122,3.726152,3.645321,3.843222
ZNF29P,4.163309,3.850729,3.951677,3.851834,3.872606,4.168399,3.797735
TBC1D26,6.070473,6.043188,5.743274,6.401977,5.928809,5.615136,5.965119
ADORA2B,6.580379,6.784392,6.266915,6.65491,6.349197,6.300519,6.462935
TTC19,9.316174,9.359286,9.616013,9.251825,9.316391,9.246888,9.188617
RNU6-314P,2.754905,2.83802,2.759085,2.820904,3.029875,2.855888,2.783826
RN7SL442P,4.626155,4.885399,4.488026,4.606175,4.59969,4.662768,4.730232
PIGL,7.06064,7.172181,6.932011,7.140557,7.457807,7.352911,7.222677
UBB,12.97342,12.98374,12.81755,12.96347,13.03797,13.17286,13.13563
TRPV2,6.141344,6.178302,6.375073,6.15992,6.011635,6.345631,5.824997
LRRC75A-AS1,10.07124,9.981883,10.37388,10.0749,10.04752,10.3261,10.19102
COTL1P1,5.790345,6.11653,5.342438,5.257745,5.510896,5.221374,5.663656
MPRIP,7.452368,7.558257,7.738558,7.786106,7.801262,7.794777,7.899847
RNU6-767P,3.839785,4.190768,4.125465,3.930841,4.137276,4.154317,3.951995
RN7SL775P,6.17175,5.927641,5.799715,6.165052,6.404698,6.002092,6.53586
NT5M,7.13596,7.330981,7.276852,7.257722,7.266234,7.368521,7.417249
MED9,7.064784,6.932998,6.975769,7.016198,6.744911,6.971069,7.322843
RNU6-468P,3.647098,3.640209,3.630282,3.511248,3.352326,3.341272,3.249939
RAI1,6.797638,7.026909,7.201463,6.803168,6.91487,6.974678,7.360292
LRRC48,7.600502,7.618398,7.34736,7.23985,7.586349,7.915125,8.006218
GID4,7.606498,7.684998,7.660603,7.537946,7.375758,7.443319,7.49137
DRG2,8.811439,8.91193,8.880766,8.761671,8.747818,9.254923,9.204528
MYO15A,6.092812,6.066087,6.017804,5.949393,6.026402,5.921372,5.968799
ALKBH5,9.345431,9.37068,9.084406,9.481631,9.54732,9.761447,9.628035
LLGL1,7.4994,7.496281,7.869446,7.42424,7.465461,7.804778,7.787333
MIEF2,7.905891,7.863861,7.966614,7.905838,7.801071,8.027253,8.266249
SMCR8,8.340505,8.443778,8.41091,8.353556,8.284987,8.645018,8.463338
FLJ35934,6.555738,6.674291,6.747203,6.886211,6.660559,6.632696,7.196157
TRIM16L,8.147834,7.888646,9.083191,8.243375,7.840553,8.791236,8.227842
PRPSAP2,8.183553,8.208844,7.633063,8.077313,8.119576,8.492647,8.127279
SLC5A10,9.969997,9.902519,8.500015,9.50441,9.602904,10.11831,9.247354
GRAPL,6.809183,6.69558,6.999362,7.026652,6.855554,7.328675,7.162554
EPN2,8.084379,8.110749,8.09933,8.051009,7.937145,8.273611,9.02601
MAPK7,7.212227,7.044498,7.340771,6.971599,6.829331,7.185079,7.300141
RNF112,5.441227,5.328522,5.221986,5.232033,5.022524,5.159323,5.1603
SLC47A1,11.41695,11.19924,10.33096,11.27119,10.87977,11.25281,10.3459
ALDH3A2,10.33424,10.27006,9.608412,10.28472,10.092,10.32284,9.865172
LOC100131943,4.861464,5.039655,4.952723,5.074111,4.599972,4.951175,5.213532
SPECC1,7.521012,7.726092,8.040247,8.080319,7.768864,7.865613,8.243715
CCDC144CP,6.790326,6.73672,7.404246,8.100274,8.201931,6.959208,7.093105
USP32P3,7.621719,7.547867,7.713707,8.239237,8.354513,7.104519,7.126221
DHRS7B,8.786196,8.90865,8.80026,8.839086,8.647805,9.026222,9.06227
MAP2K3,8.142534,8.333638,8.091057,8.353079,8.283305,8.6208,8.240922
KCNJ12,7.164708,7.157916,7.101428,7.132837,7.062609,6.930891,7.361339
UBBP4,12.0915,11.98308,11.93349,12.10687,11.8294,11.84191,11.7953
FAM27L,5.941515,6.007144,5.999043,6.011652,6.076748,5.754607,5.732183
FLJ36000,5.472874,5.308857,5.083895,5.353506,5.419081,5.133814,5.268397
WSB1,10.12339,10.36777,10.31845,10.43711,10.60588,10.32883,10.16561
TBC1D3P5,5.69276,5.375491,5.368976,5.424299,5.512189,5.261093,5.450735
KSR1,7.884373,7.881713,7.996955,7.879384,8.206036,8.293254,8.225259
LGALS9,5.390126,5.369162,6.303875,5.407433,5.695015,5.752173,5.620924
NLK,9.572727,9.629959,9.599394,9.318099,9.534714,9.629565,9.438424
PYY2,7.143218,7.476515,7.069184,7.367796,7.085957,7.049406,7.076773
PPY2,5.543169,5.33795,5.635729,5.374592,5.750653,5.518138,5.496537
TMEM97,7.839124,7.686082,8.408496,8.116809,8.430689,8.377486,8.580941
TNFAIP1,8.934244,9.149393,9.924469,9.068558,9.070974,9.526483,9.30732
TMEM199,8.850036,8.837078,8.752045,9.084899,8.877511,9.305055,9.174138
SARM1,7.650951,7.68675,7.510962,7.662954,7.57397,7.850371,7.673907
RPS7P1,7.358394,7.50856,7.877301,7.40202,7.48077,7.456884,7.453333
SLC13A2,9.879229,10.68157,7.859009,10.40794,10.82724,10.68492,9.797982
FOXN1,5.384122,5.37189,5.326134,5.35817,5.438152,5.373079,5.526707
SUPT6H,9.755444,9.670987,9.667448,9.645642,9.678943,9.716776,9.973341
SNORD42B,5.170569,5.663912,6.127463,5.279563,5.465741,5.566857,5.905317
SNORD4A,5.992691,6.012393,6.858719,6.057529,6.008408,6.57805,6.520771
SNORD42A,6.177042,6.080628,6.505487,6.334032,6.292471,6.441497,6.586309
SNORD4B,6.524577,6.581049,7.131631,6.291529,6.508159,6.855038,6.801397
NEK8,7.0262,6.904055,7.120981,7.083618,7.021695,7.295213,7.171335
TRAF4,8.083709,8.30283,8.52063,8.10225,8.279596,8.261497,8.262881
ERAL1,9.643095,9.652142,9.863099,9.794906,9.583753,10.43393,10.37842
PIPOX,11.50238,11.41185,9.854329,11.18415,11.44711,11.4241,11.21735
CRYBA1,5.132282,4.997276,4.728383,4.997502,4.874817,4.768999,4.943467
RNU4-34P,5.728444,5.535372,4.717824,5.801541,5.123704,4.780534,4.944897
TAOK1,8.861824,8.846195,9.098258,8.8859,8.907116,8.90104,8.545361
TP53I13,7.420923,7.183681,7.35719,7.267269,7.200107,7.438829,7.422166
ANKRD13B,6.515437,6.413078,6.988632,6.398165,6.34253,6.528536,6.664883
EFCAB5,4.445536,4.443812,5.022534,4.436079,4.456853,4.397601,4.524675
NSRP1,8.498366,8.615428,8.396449,8.46181,8.697835,8.293813,8.528292
MIR423,6.491394,6.400781,6.607258,6.607258,6.903008,6.613975,6.9302
RNU6-990P,4.510166,4.542096,4.790376,4.189724,4.530345,5.141353,4.899338
CPD,10.12212,9.833073,10.0064,9.949278,10.0728,9.742538,9.370006
GOSR1,8.70568,8.632467,8.511078,8.822405,9.081926,9.184559,9.001636
TBC1D29,5.834731,5.992332,6.022105,6.007381,5.851294,5.918334,6.060075
LRRC37BP1,9.082506,8.599358,8.83159,8.875724,9.247437,8.977163,8.923053
